contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,expirationDate,underlyingPrice,daysToExpiration,yearsToExpiration,moneyness,logMoneyness,bidAskSpread,bidAskSpreadPct,liquidityScore,impliedVolatilityPct
AAPL250530C00222500,2025-05-23 19:45:33+00:00,222.5,0.04,0.04,0.05,-0.04,-50.0,2933.0,3010.0,0.45117736328125,False,REGULAR,USD,CALL,2025-05-30,195.27,4,0.010951403148528405,1.1394479438725866,0.13054388535388922,0.010000000000000002,25.000000000000007,2986.9,45.117736328125005
AAPL250530C00225000,2025-05-23 19:59:57+00:00,225.0,0.04,0.03,0.04,-0.030000001,-42.857143,3261.0,14518.0,0.47070841796875,False,REGULAR,USD,CALL,2025-05-30,195.27,4,0.010951403148528405,1.1522507297587954,0.14171718595201438,0.010000000000000002,25.000000000000007,11140.899999999998,47.070841796875
AAPL250530C00227500,2025-05-23 19:56:22+00:00,227.5,0.02,0.02,0.03,-0.030000001,-60.000004,601.0,1725.0,0.48438015625,False,REGULAR,USD,CALL,2025-05-30,195.27,4,0.010951403148528405,1.1650535156450044,0.15276702213859947,0.009999999999999998,49.999999999999986,1387.8,48.438015625000006
AAPL250530C00230000,2025-05-23 19:54:30+00:00,230.0,0.02,0.02,0.03,-0.01,-33.333336,1500.0,7015.0,0.5039112109375,False,REGULAR,USD,CALL,2025-05-30,195.27,4,0.010951403148528405,1.1778563015312131,0.1636960926707897,0.009999999999999998,49.999999999999986,5360.5,50.39112109375
AAPL250530C00232500,2025-05-23 19:54:47+00:00,232.5,0.02,0.01,0.03,-0.02,-50.0,990.0,809.0,0.523442265625,False,REGULAR,USD,CALL,2025-05-30,195.27,4,0.010951403148528405,1.1906590874174219,0.17450700877500525,0.019999999999999997,99.99999999999997,863.3,52.3442265625
AAPL250530C00235000,2025-05-23 18:29:07+00:00,235.0,0.01,0.01,0.02,-0.02,-66.66667,227.0,3787.0,0.5312546875,False,REGULAR,USD,CALL,2025-05-30,195.27,4,0.010951403148528405,1.2034618733036309,0.18520229789175333,0.01,100.0,2718.9999999999995,53.12546875
AAPL250530C00240000,2025-05-23 19:45:15+00:00,240.0,0.01,0.01,0.02,-0.01,-50.0,1194.0,3864.0,0.585941640625,False,REGULAR,USD,CALL,2025-05-30,195.27,4,0.010951403148528405,1.2290674450760486,0.2062557070895857,0.01,100.0,3062.9999999999995,58.5941640625
AAPL250530C00245000,2025-05-23 18:04:49+00:00,245.0,0.01,0.0,0.14,0.0,0.0,855.0,1346.0,0.7578149218750001,False,REGULAR,USD,CALL,2025-05-30,195.27,4,0.010951403148528405,1.254673016848466,0.22687499429232125,0.14,1400.0000000000002,1198.6999999999998,75.7814921875
AAPL250530C00250000,2025-05-23 18:22:46+00:00,250.0,0.01,0.0,0.01,0.0,0.0,238.0,1687.0,0.6250037500000001,False,REGULAR,USD,CALL,2025-05-30,195.27,4,0.010951403148528405,1.2802785886208838,0.24707770160984074,0.01,100.0,1252.3,62.500375000000005
AAPL250530C00255000,2025-05-22 14:09:16+00:00,255.0,0.01,0.0,0.01,0.0,0.0,6.0,485.0,0.6718782812500002,False,REGULAR,USD,CALL,2025-05-30,195.27,4,0.010951403148528405,1.3058841603933016,0.2668803289060205,0.01,100.0,341.3,67.18782812500001
AAPL250530C00260000,2025-05-21 19:46:13+00:00,260.0,0.01,0.0,0.01,0.0,0.0,8.0,706.0,0.7187528125,False,REGULAR,USD,CALL,2025-05-30,195.27,4,0.010951403148528405,1.331489732165719,0.28629841476312196,0.01,100.0,496.59999999999997,71.87528125
AAPL250530C00265000,2025-05-22 18:31:57+00:00,265.0,0.01,0.0,0.01,0.0,0.0,1.0,669.0,0.7500025,False,REGULAR,USD,CALL,2025-05-30,195.27,4,0.010951403148528405,1.3570953039381368,0.3053466097338165,0.01,100.0,468.59999999999997,75.00025000000001
AAPL250530C00270000,2025-05-23 18:29:14+00:00,270.0,0.01,0.0,0.01,0.0,0.0,1.0,518.0,0.79687703125,False,REGULAR,USD,CALL,2025-05-30,195.27,4,0.010951403148528405,1.3827008757105546,0.32403874274596906,0.01,100.0,362.9,79.687703125
AAPL250530C00275000,2025-05-15 15:26:57+00:00,275.0,0.02,0.0,0.01,0.0,0.0,4.0,485.0,0.8437515624999999,False,REGULAR,USD,CALL,2025-05-30,195.27,4,0.010951403148528405,1.4083064474829723,0.34238788141416565,0.01,50.0,340.7,84.37515624999999
AAPL250530C00280000,2025-05-15 14:12:32+00:00,280.0,0.01,0.0,0.01,0.0,0.0,20.0,464.0,0.87500125,False,REGULAR,USD,CALL,2025-05-30,195.27,4,0.010951403148528405,1.4339120192553898,0.36040638691684385,0.01,100.0,330.79999999999995,87.500125
AAPL250530C00285000,2025-05-20 18:01:11+00:00,285.0,0.01,0.0,0.01,0.0,0.0,9.0,245.0,0.9062509375,False,REGULAR,USD,CALL,2025-05-30,195.27,4,0.010951403148528405,1.4595175910278075,0.3781059640162448,0.01,100.0,174.2,90.62509374999999
AAPL250530C00290000,2025-05-16 13:30:01+00:00,290.0,0.02,0.0,0.01,0.0,0.0,1.0,145.0,0.9687503125,False,REGULAR,USD,CALL,2025-05-30,195.27,4,0.010951403148528405,1.4851231628002253,0.395497706728114,0.01,50.0,101.8,96.87503124999999
AAPL250530C00295000,2025-05-01 17:18:40+00:00,295.0,0.05,0.0,0.01,0.0,0.0,2.0,7.0,0.98437515625,False,REGULAR,USD,CALL,2025-05-30,195.27,4,0.010951403148528405,1.510728734572643,0.4125921400874142,0.01,20.0,5.499999999999999,98.437515625
AAPL250530C00300000,2025-05-13 19:07:11+00:00,300.0,0.01,0.0,0.01,0.0,0.0,70.0,121.0,1.0312548437500002,False,REGULAR,USD,CALL,2025-05-30,195.27,4,0.010951403148528405,1.5363343063450605,0.42939925840379534,0.01,100.0,105.69999999999999,103.12548437500001
AAPL250530C00305000,2025-05-09 18:46:00+00:00,305.0,0.01,0.0,0.01,0.0,0.0,58.0,62.0,1.0625046875000002,False,REGULAR,USD,CALL,2025-05-30,195.27,4,0.010951403148528405,1.5619398781174783,0.4459285603550059,0.01,100.0,60.8,106.25046875000001
AAPL250530C00310000,2025-05-06 17:03:51+00:00,310.0,0.01,0.0,0.01,0.0,0.0,1.0,1.0,1.09375453125,False,REGULAR,USD,CALL,2025-05-30,195.27,4,0.010951403148528405,1.587545449889896,0.46218908122678626,0.01,100.0,1.0,109.375453125
AAPL250530C00320000,2025-05-01 17:16:55+00:00,320.0,0.02,0.0,0.01,0.0,0.0,0.0,1.0,1.1875040625,False,REGULAR,USD,CALL,2025-05-30,195.27,4,0.010951403148528405,1.6387565934347312,0.4939377795413665,0.01,50.0,,118.75040625
AAPL250530C00325000,2025-05-13 19:28:22+00:00,325.0,0.01,0.0,0.01,0.0,0.0,1.0,125.0,1.1875040625,False,REGULAR,USD,CALL,2025-05-30,195.27,4,0.010951403148528405,1.664362165207149,0.5094419660773318,0.01,100.0,87.8,118.75040625
AAPL250530P00110000,2025-05-23 14:08:50+00:00,110.0,0.01,0.0,0.01,0.0,0.0,11.0,399.0,1.40625296875,False,REGULAR,USD,PUT,2025-05-30,195.27,4,0.010951403148528405,0.5633225789931889,-0.5739028504599893,0.01,100.0,282.59999999999997,140.625296875
AAPL250530P00120000,2025-05-23 17:33:04+00:00,120.0,0.01,0.0,0.01,0.0,0.0,6.0,990.0,1.1875040625,False,REGULAR,USD,PUT,2025-05-30,195.27,4,0.010951403148528405,0.6145337225380243,-0.4868914734703596,0.01,100.0,694.8,118.75040625
AAPL250530P00125000,2025-05-23 19:49:46+00:00,125.0,0.01,0.0,0.01,0.0,0.0,706.0,10537.0,1.09375453125,False,REGULAR,USD,PUT,2025-05-30,195.27,4,0.010951403148528405,0.6401392943104419,-0.44606947895010457,0.01,100.0,7587.7,109.375453125
