dataDate,surfaceId,ticker,spotPrice,optionLabel,optionType,strike,moneyness,moneynessPct,expirationDate,daysToExpiration,yearsToExpiration,optionPrice,bid,ask,impliedVolatility,delta,gamma,theta,vega,volume,openInterest,inTheMoney
2025-05-23,surface_vol_20250523,AAPL,199.95,45% 0.50Y,CALL,90.0,0.4501,45,2025-09-19,119,0.3258,116.5,115.7,117.3,131.39682739257813,0.928,0.000915,-0.0957,0.1566,2.0,183,True
2025-05-23,surface_vol_20250523,AAPL,199.95,45% 0.50Y,CALL,90.0,0.4501,45,2025-10-17,147,0.4025,111.6,111.15,112.05,81.65301550292968,0.967,0.00071,-0.0369,0.0933,1.0,1,True
2025-05-23,surface_vol_20250523,AAPL,199.95,47% 0.25Y,CALL,95.0,0.4751,47,2025-06-20,28,0.0767,105.19999999999999,104.8,105.6,139.74639501953123,0.9833,0.000537,-0.0699,0.023,1.0,3679,True
2025-05-23,surface_vol_20250523,AAPL,199.95,47% 0.25Y,CALL,95.0,0.4751,47,2025-07-18,56,0.1533,107.375,106.65,108.1,140.91826416015624,0.9493,0.000945,-0.1139,0.0816,1.0,13,True
2025-05-23,surface_vol_20250523,AAPL,199.95,47% 0.25Y,CALL,95.0,0.4751,47,2025-08-15,84,0.23,105.0,104.2,105.8,60.74258007812501,0.9969,0.000161,-0.016,0.009,,1,True
2025-05-23,surface_vol_20250523,AAPL,199.95,47% 0.50Y,CALL,95.0,0.4751,47,2025-09-19,119,0.3258,148.35,0.0,0.0,0.0010000000000000002,1.0,0.0,-0.0128,0.0,12.0,0,True
2025-05-23,surface_vol_20250523,AAPL,199.95,50% 0.25Y,CALL,100.0,0.5001,50,2025-06-20,28,0.0767,100.275,99.85,100.7,136.03547607421876,0.9792,0.000664,-0.0803,0.0277,1.0,251,True
2025-05-23,surface_vol_20250523,AAPL,199.95,50% 0.25Y,CALL,100.0,0.5001,50,2025-07-18,56,0.1533,100.7,100.2,101.2,103.56493530273441,0.9732,0.000764,-0.0576,0.0485,150.0,528,True
2025-05-23,surface_vol_20250523,AAPL,199.95,50% 0.25Y,CALL,100.0,0.5001,50,2025-08-15,84,0.23,101.05000000000001,100.65,101.45,89.16026464843749,0.9686,0.000826,-0.0485,0.0677,1.0,3,True
2025-05-23,surface_vol_20250523,AAPL,199.95,50% 0.50Y,CALL,100.0,0.5001,50,2025-09-19,119,0.3258,101.55,101.1,102.0,80.07832421875,0.9625,0.000895,-0.0437,0.0934,3.0,1053,True
2025-05-23,surface_vol_20250523,AAPL,199.95,50% 0.50Y,CALL,100.0,0.5001,50,2025-10-17,147,0.4025,102.0,101.45,102.55,75.80590600585938,0.9576,0.00094,-0.0416,0.1147,20.0,8,True
2025-05-23,surface_vol_20250523,AAPL,199.95,52% 0.25Y,CALL,105.0,0.5251,52,2025-06-20,28,0.0767,95.225,94.85,95.6,124.21912890624998,0.9801,0.000701,-0.0729,0.0267,5.0,227,True
2025-05-23,surface_vol_20250523,AAPL,199.95,52% 0.25Y,CALL,105.0,0.5251,52,2025-07-18,56,0.1533,95.7,95.25,96.15,97.11916943359374,0.9715,0.000856,-0.0576,0.051,11.0,40,True
2025-05-23,surface_vol_20250523,AAPL,199.95,52% 0.25Y,CALL,105.0,0.5251,52,2025-08-15,84,0.23,96.125,95.65,96.6,84.76577734374999,0.9653,0.000944,-0.0502,0.0735,14.0,30,True
2025-05-23,surface_vol_20250523,AAPL,199.95,52% 0.50Y,CALL,105.0,0.5251,52,2025-09-19,119,0.3258,96.6,96.2,97.0,75.70825073242189,0.9594,0.001009,-0.0445,0.0995,20.0,29,True
2025-05-23,surface_vol_20250523,AAPL,199.95,52% 0.50Y,CALL,105.0,0.5251,52,2025-10-17,147,0.4025,97.07499999999999,96.6,97.55,71.85086743164062,0.954,0.001058,-0.0425,0.1223,,1,True
2025-05-23,surface_vol_20250523,AAPL,199.95,55% 0.25Y,CALL,110.0,0.5501,55,2025-05-30,7,0.0192,89.94999999999999,89.55,90.35,50.0005,1.0,0.0,-0.0151,0.0,1.0,7,True
2025-05-23,surface_vol_20250523,AAPL,199.95,55% 0.25Y,CALL,110.0,0.5501,55,2025-06-06,14,0.0383,90.0,89.55,90.45,155.46897265624997,0.9831,0.00069,-0.1059,0.0164,58.0,62,True
2025-05-23,surface_vol_20250523,AAPL,199.95,55% 0.25Y,CALL,110.0,0.5501,55,2025-06-13,21,0.0575,90.0,89.45,90.55,113.28168359375002,0.9905,0.000468,-0.0476,0.0122,4.0,11,True
2025-05-23,surface_vol_20250523,AAPL,199.95,55% 0.25Y,CALL,110.0,0.5501,55,2025-06-20,28,0.0767,90.3,89.85,90.75,120.50820996093749,0.9755,0.00086,-0.0827,0.0318,5.0,516,True
2025-05-23,surface_vol_20250523,AAPL,199.95,55% 0.25Y,CALL,110.0,0.5501,55,2025-06-27,35,0.0958,90.225,89.7,90.75,101.172369140625,0.9812,0.000732,-0.0555,0.0284,1.0,7,True
2025-05-23,surface_vol_20250523,AAPL,199.95,55% 0.25Y,CALL,110.0,0.5501,55,2025-07-18,56,0.1533,90.75,90.3,91.2,92.01668139648437,0.9686,0.000982,-0.0595,0.0554,1.0,32,True
2025-05-23,surface_vol_20250523,AAPL,199.95,55% 0.25Y,CALL,110.0,0.5501,55,2025-08-15,84,0.23,91.15,90.75,91.55,79.80977221679689,0.9627,0.001064,-0.0508,0.0781,2.0,264,True
2025-05-23,surface_vol_20250523,AAPL,199.95,55% 0.50Y,CALL,110.0,0.5501,55,2025-09-19,119,0.3258,91.65,91.25,92.05,71.50907397460938,0.9562,0.001137,-0.0452,0.1059,4.0,775,True
2025-05-23,surface_vol_20250523,AAPL,199.95,55% 0.50Y,CALL,110.0,0.5501,55,2025-10-17,147,0.4025,92.19999999999999,91.8,92.6,68.39631213378907,0.9496,0.001197,-0.0438,0.1318,1.0,118,True
2025-05-23,surface_vol_20250523,AAPL,199.95,57% 0.25Y,CALL,115.0,0.5751,57,2025-06-20,28,0.0767,85.325,84.9,85.75,113.67230664062502,0.973,0.00099,-0.0849,0.0345,5.0,390,True
2025-05-23,surface_vol_20250523,AAPL,199.95,57% 0.25Y,CALL,115.0,0.5751,57,2025-07-18,56,0.1533,90.0,0.0,0.0,0.0010000000000000002,1.0,0.0,-0.0156,0.0,1.0,0,True
2025-05-23,surface_vol_20250523,AAPL,199.95,57% 0.25Y,CALL,115.0,0.5751,57,2025-08-15,84,0.23,86.325,85.9,86.75,76.90452783203125,0.9569,0.001242,-0.0544,0.0878,1.0,75,True
2025-05-23,surface_vol_20250523,AAPL,199.95,57% 0.50Y,CALL,115.0,0.5751,57,2025-09-19,119,0.3258,86.9,86.4,87.4,69.18976123046876,0.9494,0.001318,-0.0484,0.1188,1.0,100,True
2025-05-23,surface_vol_20250523,AAPL,199.95,57% 0.50Y,CALL,115.0,0.5751,57,2025-10-17,147,0.4025,87.4,87.0,87.8,65.52768847656252,0.9437,0.001363,-0.0456,0.1437,1.0,93,True
